Structure [idcode]	Molecule Name	_SMILES	_CXSMILES_Data	Stereo Centers	cLogP	H-Acceptors	H-Donors	Stereo Centers 2
fcH`@DBTxF\bbTRbTQtbltVbpeF\wlumSUMUUMUUUP@@ !B_?{}bOvw@hcRs{|q@hb{J|BYf]~w@orHSk|BbK|q`DyNopT`o{ZdiIndiJRdiIndiJRdiJRd	PV-010001037592	CC1=C(C(=O)NCC2CN(C(=O)C3CC4(CC(C)C4)C3)C2)C=NN1C(C)(C)C		0	2.0729	6	1	10
fnsPS@LR`cuPADYALaddabbRbRRff\eVCdjuPTQIUUD@@ !B?`ANipC~_?xlFBqg?[_}bFAeXAi??`Jw_?xXKAaS?X`BmpSjhChdzw?~?X`	Z3641813073	COC1=CC=C(S(=O)(=O)N2CC(=O)N(C3CC3)C2)C(C(F)F)=C1		0	1.5356	6	0	8
fhiqB@JL|H@QdbbQTtTRvJN}SMLAAP@@ !BnrnH?]KOwzZYw?vw@k\@?ovw@k]??ovw@O{}mw?~_?x	Z3359836831	CC1=NC=C(C)C(C(=O)NC2=C(C)SC=N2)=C1		0	2.1028	4	1	13
fikhb@JRlVhh`BLdTTRcbtbLrbRqQoZYijjiiji@@ !BGvTlY?y?YrqSYpC~YuMN`L?MYrpqov\lYrqSYrpXShA\Af\lYrp_Y_x@Tq`_Fg?~	PV-009464314615	CC1=CNC(CC(=O)NC(C)(C)CN(C)C(=O)C2=C(C)N=C(C)S2)=N1		0	1.1384	7	2	10
figQa@BZdjhHc`QdTRRRdlTTbRRUFNBT[^p@TmPU@tDP@@ !Bs|tqov\ls|wOsV\lYrsOs[uwKAagKOx@GvT_FhQTTq`_YRqgf\BYpK|N?g}SYxQT	PV-006106978322	CC1=NC=C(Cl)C=C1S(=O)(=O)N1C2=CC=CC=C2C(=O)C12CCCC2		0	2.7419	5	0	14
ffsHB@FRMxDadTRTrRTRbJtipToQKV@HZijjhf@@ !BilB{UF@ZilBfpELXXAhlFOx@YV@XKA|ZKA`XKOx@YuMSFF]SFfCA@O_B	PV-002739663585	CCN1N=C(C2CC2)C=C1C1=NC2=CC(F)=CC=C2N1CC		0	2.9659	4	0	14
ffch`@DXexhCYEEDdhlhcEBaZMXmVjjZfjiZ`@@ !B@OxBb@Jw?X`@?ovw@h`BbK|qtl|@?ig_nro@fQ@jpIfYwsj`ZFL@wmbL	Z4268237908	CC(C)C1=CON=C1NC(=O)N1CCC(N2C=CN=C2)CC1		0	2.1849	7	1	2
fmwqb@HRJIsPAFRIQ[SQIREKISJXIYr\tmSUUUUMUT`rs@@ !BGvTlY?y?Tv\@?f]S@OxBmpJH@O{}b@JH@hc}b@JH@k\@?`C~@k]xmJe@i}IxmGbtbwaxm@	PV-004935671148	CC1=NSC(CC(=O)N2CCO[C@]3(CC[C@H](NC(=O)CC(C)C)CC3)C2)=C1		0	2.7287	6	1	5
fcoPP@DN@FZ|bbbbfbSRfTRVTtkJLwkUMUUSUUSURDsl@@ !B|auU[tBVOzftArSkxkBiPC~i|LJIoxBIOzfiPF|jjT@Gbp^K?[_}bG?~_?{}b@^KwdmoJ`^K	PV-009790052286	COC(=O)[C@H]1CC[C@H](CC(=O)NC2CC(N(C)C(=O)C3=C(C)CCC3)C2)CC1		0	2.5083	6	1	2
ek`VHD@BN@lfco@IARPrJJIQIJWSIRJIIIbSPrXy[ZBBbVfjjjVJ`@@ !B@?LFWy|zhDU[zuokJf?XcI|zgsh@wfacpP@PJgbKed@PJa@jec?}b@C~lNwkVpJH@hbIo|Kw@Ox	PV-008629047964	CC1=C(C(=O)NCC2(N3C=CC=N3)CCNCC2)C=NN1C1=CC=C(F)C=C1F		0	1.3735	7	2	8
fluqB@A^cpDadTTRbaQbbsERuzLDCQTmPp@@ !B?[]??`Jw?Xc}m?vw@ha??g?~@k_}m?vwosGRsyg_JxR{JrnD	PV-009956042215	CCC1=NNC=C1C1=CNC(=O)C2=C1C=CC=C2F		0	1.4459	4	2	14
few`P@K@QynQSJJIQGJYQISJRcVkt\vhBBjZ@Hha@@ !B@k_}mpC~@OxBb@Jw@O{}b@C~@k\Bb@JH?X`Bb@C~?Xc}b@JH_?{}bOvHFfA??f\lYV@	PV-007820218065	O=C(O)CC1=CC=CC2=C1CCN(C(=O)CC1=CC=C3C=COC3=C1)C2		0	2.8117	5	1	10
ffcp`@ENB@rSJvnwJ{DiIPXmUUTsSUU@@@ !BYrs~@A}eGqiSFERDwzYeXFU`wzYeXERDwzZ{J|wPmpJ?L\?Ms|wRs|wP	Z5351504564	CC(C)CN1C=CC(C(=O)N2CCC3(CCC(=O)C3)CC2)=N1		0	1.8261	5	0	8
fnsX`@DXlgIP^RYeg_VvVYKQbuZjB@iijhP@@ !B?Xa??`JH?[_}bOvH_?xBmpJH?[_}mpJw?[\BmpC~?[_}m{|qtl~Yw{lkpId	Z4285924712	CN1C=NN=C1CC(=O)NC1=CC=C(N2CCCNC2=O)C=C1		0	0.4784	8	2	7
fnsQR@FM`aQk@BLddNbRbtrffRIStZmVjjZfiji`@@ !BpIffpM~ff]~Yw}~ff]}eXIg_lnK_iig_nroMtK\B@hb?L_vH@OxBb@JH@Ox	PV-007538703329	O=C(NC1(CCO)CS(=O)(=O)C1)C1=C(C2=CCNCC2)C=CO1		0	-0.8008	7	3	4
fa{iB@DXIHv`XbSJj{[NrlR`i^CUltuTuU@AUBKPL@@ !BFfASFF@ZKAc~@Ig@aERDUIg@aEQ`YYg@Gqh_Fai`Ff@ZXLBfJxPZXAi`JxS@i`	Z3103857543	CC1=CC=CC([C@H]2C[C@H](NC(=O)N3CCN4N=C(Br)N=C4C3)C2)=C1		0	3.3178	6	1	3
ek`\DH@FOFjD`ICHiEDXhdlmihdeiBNMGO@najijjjjX@Jjh@@@ !BcThWx~pWZNra_x|RZNs~@D]s{A]h{D\Lw|Yh{M?Y[[AsNHjPotfukwLxotf?RWLx\sasND]sN@p	PV-008339181091	CC(C)(C)C1=CN=CC(C(=O)N2CCCN(C(=O)C3(F)CC4(CCC4)C3)CC2)=C1		0	3.6104	5	0	9
fmwYC@B\LUo]@dDRFICHiCEEMDlmIhUeNR\EoZjfA`bjVjb@@ !BYuMSFBqgYuL_Foy?Tv]eXA}eaBnrxm~ff]~YwvU`aBl_YV@ZYVAeGv\l_?ygTq|ZFfAeGp	Z5228001387	CC(C)N1C=C(C(C)(C)NC(=O)C2=NC3=CC=CC=C3N2C(F)(F)F)N=N1		0	3.7265	7	1	7
fbupa@NJ}JpHaHQdTTRefRfbRYrJXBBZfeh`@@ !B@k_}mpC~@k]??`Jw@O{}mw?~@k_}m?vw@k]??eLXTv\_YQ|ZYrp	PV-002942607779	CC1=NC(C(=O)CNC(=O)C2=NC=CC(Cl)=C2C)=CS1		0	1.2893	5	1	1
fegI@`FJBfPHcT`ZPmHYEDeEhiMUDideJLSeoX@JZjffjhh@@ !BJ{lZG}~fJ{lkn}~fFa?_ibn{pIg_iig_il@ZGqh_Tv]`YRqg?g~H@hc}bOvH@bhPPJd	PV-007046541662	CC1(C)CCC2=C(C1)C(CNC(=O)C1=NC(C(F)(F)F)=CC(Cl)=C1)=NN2		0	2.8371	5	2	15
fkq`@DFfBu\bbTTbRrfrdT|TRD[Si{Z`jBbjifih`@@ !BIWpBbG?~@Oy}bGvw?`@@?oy?_?y??`C~?g}}mwvHiJQ??gvHmwvH@`T`H@VJ[sct@AxcUr`c}D\	PV-007360131963	CC1=CC=C(C(=O)NC2(CO)CN(C(=O)C3=C(C)N(C)C=C3)C2)C=C1C(C)(C)C		0	2.9663	6	2	2
fj}aa@IVCDFHrPrJIJERHsJIJgEZrV@Hjijjb`@@ !B@k_}mpC~@k\Bm{vK@OxBmq@jAxnVOwbKHV\PJa@j?X`@?`JH@h`@?`	Z5563655808	O=C(CC1OCCCO1)NC1(C2=CC=C(Br)C=C2F)CC1		0	2.6219	4	1	15
ek`RL@@DJHl`JmlbbTTRRTtrUTrbrTlL|bRfVZ`@@Hiijj`iCiKP@ !B@OxBmpJH@Ox@?gvH@h`BmpJH@h`@?`C~_Xc@i`Jw@haTaDz@@OxBbMMX@Ox@?`C~?g?~_?y?bGt	PV-010105541841	CO[C@H]1C[C@@H](CC(=O)NC2=CC=C(NC(=O)C3=CC=C4NC=CC4=N3)C=C2C)C1		0	2.76	7	3	14
ffcHa@LLTVB@AE`cIIBhhheEiLhhwbyjmTaUAUDb@@ !BpJ[_fZ[_f\A`Y\?RUHRfwxQTShBw?_vHTv]`YVAe?X`Bm{_}KF^DUOy?	Z4216987572	CC(C)(C)N1N=CC=C1S(=O)(=O)NC1=CC=NC2=C1SC=C2		0	0.9458	6	1	3
ffcHb@AZ]VrPRBSJvzmjrtXJQZp@TuMUMD`@@ !BilB{UF@ZilBfpF@ZTqc~@BpXYVAeXERDpIeeXERDUHQTaIg@`CFH@mKP	PV-003055183905	O=C(NCCC1=CN=CO1)NCC1=CC2=CC(F)=CC=C2N1		0	1.4705	6	3	9
fnspa@INSYhLQdadTRTQdQfTRRUNJudl@QUSSSRT@@ !B^KPPUZe@^KQxmAAUjTBiPG?~DBjVPOvHz`Q??ovH@ha??ovH?Xa??g?~?X`	Z5024901488	CC1=CC(NC(=O)NC2(C3=CC(F)=CC(Br)=C3)CC2)=CNC1=O		0	2.255	5	3	13
fmwPQ@MIUxhpQAIAIf]vuZ}nYYrJQk``JZjjfZdh@@ !B_?{}bOvw@ha??g?~?[_}m?vw@k]??ovw?[_}mxc}?[^w@k\BWpV[i@U_[{WtQqy?UupcUp	PV-006522647825	CC1=C(C(=O)N2CC(O)(CCNC(=O)CC3=CC=C(F)C(Cl)=C3)C2)C=CO1		0	2.4792	6	2	2
figh`@DBtZpEYEEEEMDhdcLdchuoEkt[UMMMUAPDp@@ !Bs|tqov\lFEOOs_x@GvW~_v@ZjIp_FeLXXFUgTrqgKh@uDDz?s}K[yGqHYuMgT|?R	PV-009711358354	CN(C(=O)C1=C2OCCCCN2N=C1)C1=CC=NN1C1=CC=CC=C1		0	2.2986	7	0	13
fjmQ`@CY@cRS\kK__OrR\m@DSUUTP@@ !B_?{}m?vH@ha??ovH?X`BbG?~_?x@?ovH_?y??`JH_?{~@G?~_?z[i@	Z6663739365	CCC1=CC(C(=O)O)=CC(C(=O)N(C)CC2CN(C)C2)=C1		0	0.6948	5	1	13
fi{PR`L^`bS`AFPalavPGHYIHXhllmMEdeISfcQRmTBAMUUUD@@ !Bm?wRsuLXXAhlFG?~?`BH?VU`b@JH@hc}bOw~_x`B^b@`AR@EH@VdiJRdiJR[iJR[	Z5617972146	CN1C(=O)C2=CC=C(C(=O)N3CC(SCC(F)(F)F)C3)C=C2S1(=O)=O		0	2.1241	6	0	3
fcoXa@MFmD\p}AHJdLbbbTRTQQfRdTJsIZmM\DCESSUUMQH@@ !BHrQ??`JH?[_}bOvHtl~?LPJH@hb{J|BYf]}Noqh_W\o@fQh_Fa|_YV@ZFa}gKFT_YuM??eMg	Z7788415777	CC1=NOC(C(C)(C)CNC(=O)NC2=C(C3=CC=C(F)C=C3F)C=NN2C)=N1		0	2.4469	8	2	7
fdeH@@@LD[IEDhheYdmScAN|ADMTuQH@@ !Bim~DUFAeTv]`Y_y?aEPlYw?~aEPXTsF@pIgPt`JHilBfp@	Z6270175687	CCC1=CC=C(C2=CN=C3C(C)=NN(C)C3=C2)N1		0	1.8445	4	1	10
fmgI`@L^jtBByEDhiDkIUDeEhihvkMUUUUUSUUP@@ !BIPLBmw?~@Oy}mwvH?g?~@@C~_?y?yYndiJS~_?y?mwvH_[]}bGvw@oy?bGvw_Xa}?g~H@`	Z4481997196	CN(C)CCN(CC(=O)N(C)C)CC12CC(CN(C(=O)OC(C)(C)C)C1)C2		0	0.9819	7	0	7
fdeq@@HB|CIDhdUEiDm`c`acRuUUUUP@@ !B@haTn|BYtMJYwxQTbOvH?_y?b@K~_pCjfyndfpJwiIo}mp	Z4592028818	CC1=NOC(C)=C1CN(C)CC12CNCC(C1)C2		0	0.8971	4	1	12
fmoHP@DX]dEdkRYeu]mVUUv\UhmQsZj`BZjZ@H@@@ !B@k_}mpC~@k]??`Jw@Ox@?`Jw@k\@?`Jw?[\@?`Jw@k\Bmx@qs\~fwxPkbOw~_?y?bOw~_p	Z7765198065	CN1CC2=CC(C(=O)NCCC3=NC4=CC(O)=CC=C4O3)=CC=C2NC1=O		0	1.4371	8	3	11
fn}pp@LJbAD`ekdTRaRfbrTrTqJMUTuUMST@@ !BFfA`FeLX?`@lFG?~_?y??ovH?[]??`Jw_?y??g?~?[_}bG?~_?{}m?vH_?x	Z7654437084	COC(=O)CNC(=O)CCCN(C)C(=O)CCN1CCOC1=O		0	-0.7981	9	1	2
fci`@LQKUhDZrJIQRIsQIYJISILTFK^kvuUUUUUMUKS@@@ !BkAGLVKHocUCukyCuTKHocXuPdOVP}_VopIdknqh_Fa|knqh_Fa}SYvAeKF_~_x`BbOvH?X`B	Z7270522234	CC(C)(C)OC(=O)N1CC(O)(C2CCN(CC3=NN=C4C=CC=CN34)CC2)C1		0	1.3147	8	1	3
figYB@LDtVkU@BLdTVRbeRbRrbVqPThi[vfZij@BZZb@@ !BmpJYw{lkLXB?L\?R?[][y@X`_?xBm?vw?[]??`Jw?[_}mpJw?[_Rs{|qnrnYw|?M	PV-002555155119	CC1=NC(C2=CC=C(CNC(=O)C3=CSC(NC4CC4)=N3)C=C2)=NN1		0	2.0188	7	3	13
